name,address,rating,open_close,price,gps,image_src,comments,url,tags
Bò Né 3 Ngon - Bò Quanh Lửa Hồng - Mậu Thân,"41C Mậu Thân, P. An Nghiệp, Quận Ninh Kiều, Cần Thơ",7.3,07:00 - 21:00,15.000đ - 55.000đ,"10.0406457640543, 105.7675960287451",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9p6egi4au39b@resize_ss576x330,"3 ngon ở đây chuẩn 3 ngon luôn, đồ ăn ra nhanh phục vụ thì nhiệt tình, đã thử nhiều quán thấy ở đây là ngon nhất luôn, vị vừa miệng ai ăn đậm có thể thêm nước tương cho ngon hơn, ủng hộ quán dài dài. Bò nó của chổ này ăn ngon lắm nhe, đồ ăn cũng nhiều lắm ấy, mình đi với đứa bạn nên gọi 2 phần bò né số 2 để ăn, phần bánh mì của quán ăn ngon lắm nhe, vỏ bánh mềm và ngon lắm, ăn bò né còn được 1 ly nước ngọt miễn phí nữa nhe, rau trộn của quán ăn nhiều lắm ấy, bò nhiều nữa nhe, có điều quán hơi nóng tý do không được nhiều quạt cho lắm bàn ghế cũng khá là sạch sẽ nhe, nên mình ưng ý mấy quán bò né ba ngon lắm luôn. Mình thấy bò né 3 Ngon tuy là giá có hơi cao so với nhiều quán thật, nếu muốn ăn đầy đủ hết các món thì ít nhất 1 phần cũng là 30 hoặc 35k, mà mình chỉ thích đại loại như trứng, thịt bò, xúc xích thôi chứ chả với nem nướng thì mình cũng không ưng cho lắm. Mà mình thấy bò né 3 ngon có 1 đặc điểm khác với các quán khác là khi gọi rau thêm cũng tính thêm 3 hoặc 5k, còn có những chỗ là free rau thêm luôn ấy, mà rau ở đây trộn xà lách ngon thôi chứ cà rốt thì mình thấy không hợp cho lắm.
Về phần mình chấm xuất sắc nhất chắc là bánh mì của quán, bánh mì nóng giòn mà do quán có chuẩn bị sẵn chỗ để hâm nóng bánh mì lại nữa. 
Thịt bò được ướp vị rất vừa ăn, với có pate gan ăn cũng ổn lắm, được free coca cola với lại 1 ăn phần như vầy là no nóc luôn đó ^^. quán này nhân viên có một người nói giọng Bắc nói giá tiền phải đưa cái mồm vô lổ tai khách hét lớn, rất chi là ấn tượng!

tệ",https://www.foody.vn/can-tho/bo-ne-3-ngon-bo-quanh-lua-hong-mau-than,"Bò, Món miền nam, Quán ăn"
"Bông Đẹp - Bánh Mì, Xôi Gà & Xôi Xá Xíu","84 Mậu Thân, P. An Hòa, Quận Ninh Kiều, Cần Thơ",8.2,15:00 - 22:00,10.000đ - 30.000đ,"10.0424909000000, 105.7659488000000",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9d0bvwfx7f61@resize_ss576x330,"Phát hiện chỗ bán xôi mới toanh luôn nhe. Vị trí thuận tiện, nằm kế bên siêu thị lotte mart luôn, phía trước ngân hàng VIB rất dễ tìm. Xe mới, sạch sẽ, ăn cũng an tâm. 2 cô bán vui vẻ, nhiệt tình, gợi ý mình ăn gì ngon đồ nữa. Như hình là hộp xôi gà xá xíu luôn, cô bán chỉ 15k. Điểm đặc biệt ở đây là cô có lót cả lá chuối dưới hộp xôi nữa, không đổ ra dĩa mình cũng không để ý :)) Xôi chỗ này đặc biệt thơm, dẻo, đồ ăn cũng nhiều, sốt ngon, vừa ăn. Mà nếu có thêm nhiều cải xá bấu thì sẽ ngon hơn nhiều :3",https://www.foody.vn/can-tho/bong-dep-banh-mi-xoi-ga-xoi-xa-xiu,"Bánh mì, Gà, Mì, Vỉa hè, Xá xíu, Xôi, Ăn vặt"
Mì Cay Omega - Huỳnh Thị Giang,"21 Huỳnh Thị Giang, Quận Ô Môn, Cần Thơ",6.6,08:30 - 22:00,40.000đ - 60.000đ,"10.1095943000000, 105.6204209000000",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwer0q37mk0rf1@resize_ss576x330,"Đã ăn thử nhiều lần bên quán ! Mình chủ yếu ăn mỳ cay chỉ để chả cá , bạn mình thì đầy đủ . 
Mỳ ngon, phục vụ cũng khá nhanh , nhưng có nhiều lúc mấy chị phục vụ thái độ mệt ghê :))) 
Giá cả : 40 k trở lên , trà sữa ở đây cũng tạm được . Quán có 2 tầng lầu đều có máy lạnh .. Ở Ô Môn không có quá nhiều địa điểm vui chơi ăn uống cho giới trẻ, nên chi nhánh Omega mở ra ở Ô Môn như là 1 điểm sáng, để các fan vùng huyện của Omega cũng được thưởng thức mì cay nổi tiếng. Vì cùng là 1 hệ thống nên chất lượng mì cay ở đây ko có quá nhiều sự khác biệt so với ở Ninh Kiều, cả trà sữa cũng vậy, nên là đối thủ nặng kí với các quán mì cay gần đây. Vật giá ở Ô Môn cũng rẻ hơn nên mì cay ở đây cũng có vẻ nhiều hơn 1 chút.. Mì ngon đồ uống ngon nhưng phong cách phục vụ có vấn đề , khách vào quán bỏ ngồi không , đồ ăn bưng ko có thứ tự vào sau có trước vào trước ngồi đợi",https://www.foody.vn/can-tho/mi-cay-omega-huynh-thi-giang,"Mì, Mì cay, Món hàn, Quán ăn"
Bánh Ngọt 29,"33 Đề Thám, P. An Cư, Quận Ninh Kiều, Cần Thơ",7.9,16:00 - 22:00,5.000đ - 25.000đ,"10.0335670000000, 105.7828890000000",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwavzru84o2h6e@resize_ss576x330,"Bữa thằng bạn thèm bánh ngọt nên nó rủ lại đây mua bánh ăn. Quán nằm trên đường Đề Thám từ khúc đừing Nguyễn Khuyến nhìn thẳng qua bên Đề Thám là thấy tiệm bánh ngay à. Quán bán rất nhiều loại bánh từ bánh pía, bánh khoai mì, bánh gan, bánh tar trứng, cơm cháy, bánh bông lan trứng muối nhưng mình thích nhất là bánh su và bánh muffin sô cô la. Bánh su kem béo, thơm có vị ngọt. Bánh muffin sô cô la thơm có bị đắng, nên mình rất thích. Hai cái bánh tiêu tốn hết 16k :3. Bữa thằng bạn thèm bánh ngọt nên đã ghé chỗ này mua cho nó ăn thử :3 Quán nằm trên đường Đề Thám, kế bên là gà ác Đông và Ty Thé nên cũng khá là dễ tìm. Vì quán là bán mang đi nên không có không gian gì cả. Như hình là một cái bánh choux và một cái bánh gan của quán. Hai cái ăn đều ngon, bánh gan có mùi vị của cà phê đậm đà và ngậy béo của nước cốt dừa, ăn khá mềm không khô như mấy chỗ khác. Bánh choux thì khá thơm mùi bột mì, có vị béo và thơm ngon của bơ và sữa :3. Mỗi lần chạy ngang quán này là lại muốn tấp vào mà mua thôi
Ở quán này bán cực kỳ nhiều loại bánh luôn nha, tha hồ mà lựa món bánh mình thích, thấy món bánh nào nhìn cũng hấp dẫn và bắt mắt hết đó. Mình mua 1 cái bánh da lợn, 1 bánh bò, 1 bánh gan và 1 bánh đậu xanh, ta nói ăn mà thích lắm, bánh của quán làm khá là vừa miệng lại không quá khô hay ngọt nên ăn thích lắm mà lại không bị gắt cổ nữa
Quán này mình thấy cũng nhiều người đến mua lắm",https://www.foody.vn/can-tho/banh-ngot-29,"Bánh ngọt, Tiệm bánh"
Kim Phụng - Bún Đậu Mắm Tôm,"149H/17 Hẻm Liên Tổ 12-20 Nguyễn Văn Cừ Nối Dài, P. An Khánh, Quận Ninh Kiều, Cần Thơ",7.7,08:00 - 22:00,50.000đ - 100.000đ,"10.0427500000000, 105.7618530000000",https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstxx0y3js7tf1@resize_ss576x330,"Bún ngon, đậu ngon, chả cốm ngon, nem trên cả ngon, nói chung ko có gì để chê hết. Phục vụ cũng siêu dễ thương :3. Đó giờ mình ăn ở đâu không mà không để ý quán này gần nhà. Quá rẻ, ngon và chất lượng. Đậu chiên giòn rụm như vậy mới chịu, cắt nhỏ dài vừa để cuốn. Chả cốm 2 miếng cắt dài cho dễ cuốn, thịt luộc ít mỡ điều này mình rất thích. Bún ép cũng dài nên dễ uống lắm. Tất cả đồ ăn được chia đôi ra đều để 2 người ăn dễ dàng. Phần 2 người 70k thôi, nhưng mình rất hài lòng về đồ ăn cũng như hình thức trình bày của quán . Ngòi ra quán còn có bò né nữa, cá viên chiên ăn vặt đủ luôn á. Mình ăn phần đặc biệt 2 người. Theo mình thì phần này 2 người no căng bụng. Tàu hủ giòn ngon. Đồ ăn ngon, chịu. Mình mua 1 phần đặc biệt 1 người ăn đem về giá 50k đầy đủ thế này đây. So với ăn ở quán thì m thấy rau cho nhiều, bánh tráng cho vừa đủ, mua thì quán mới chiên nên rata giòn và nóng hổi, nước chấm có để sẵn đường cho m pha cho vừa ăn, nói chung rất là ngon. Vì ko có time nên m mua về ăn, thấy cũng ko khác gì sao với ngồi quán, 1m thì mua về ăn cho tiện. Hiii",https://www.foody.vn/can-tho/kim-phung-bun-dau-mam-tom,"Bún, Bún đậu, Mắm tôm, Quán ăn, Tôm"
CTP Cafe,"Hẻm 218 Trần Hưng Đạo, Quận Ninh Kiều, Cần Thơ",10.0,07:00 - 22:30,25.000đ - 39.000đ,"10.0346330000000, 105.7749510000000",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgvarg1b5jve7@resize_ss576x330,Tốt,https://www.foody.vn/can-tho/ctp-cafe,"Cafe, Café, Dessert"
Cháo Dinh Dưỡng Thành Thạo - Trần Việt Châu,"36/28 Trần Việt Châu, P. An Hòa, Quận Ninh Kiều, Cần Thơ",8.3,08:30 - 18:00,10.000đ - 13.000đ,"10.0497810000000, 105.7734670000000",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgccp17r93vc3@resize_ss576x330,"Cứ mỗi sáng không biết ăn gì là nghĩ ngay tới mấy món ăn dinh dưỡng mà nhanh như vầy. Lúc trước quán chưa bán hoành thánh nhưng giờ bán luôn rồi. Một hộp như hình có tới khoảng 6 viên hoành, toàn béo ụ thôi, nhân bên trong cũng tương đối, xứng đáng với giá 10k nên cũng không đòi hỏi gì nhiều. Nước súp được nêm nếm chủ yếu cho mấy bé ăn nên rất dinh dưỡng, củ cải trắng và củ cải đỏ được cắt nhỏ ra nấu chung với nước dùng nên rất ngọt luôn :3 mình thì không thích ăn tiêu cho lắm nên dặn không để tiêu :3. Bữa nhỏ em bị bệnh nên đã ghé quán để mua đem về cho em mình ăn. Quán nằm trên đường Trần Việt Châu, nằm gần ngân hàng Agribank và chợ An Hòa nên cũng khá là dễ tìm. Quán bán mang đi và lúc nào mình cũng thấy các phụ huynh lại đây mua về nhiều lắm :3 Như hình là một phần nui dinh dưỡng của quán, nước soup khá ngon, nước ngọt, thịt bầm mềm, vị được nêm nếm khá vừa ăn, có cà rốt và trứng cút nữa. Ly như hình chỉ có giá 10k mà thôi. Nếu có dịp đến quán dùng thử nhé :3. Sáng sớm trời lạnh nên đã tìm đến quán này để ăn cho cơ thể ấm. Quán nằm trên đường Trần Việt Châu, gần với một chỗ bán cháo trắng nên dễ tìm lắm. Quán chỉ bán mang đi như những quán khác nên không có không gian gì hết. Quán bán đồ ăn với menu rất đa dạng từ nui dinh dưỡng đến cháo dinh dưỡng, súp cua và cả hoành thành nữa. Như hình là ly nui của quán, nước dùng được nêm nếm vị ngon ngọt, đồ ăn cũng nhiều, có trứng cút, thịt bầm và cà rốt. Ly như hình có giá 10k mà thôi.",https://www.foody.vn/can-tho/chao-dinh-duong-thanh-thao,"Cháo, Dinh dưỡng, Quán ăn"
Hỷ Lạc Chay - Đường 30 Tháng 4,"Đường 30 Tháng 4, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",7.7,05:00 - 22:30,1.000đ - 30.000đ,"10.0193220000000, 105.7684058000000",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwi56v9vmwnv39@resize_ss576x330,"Đồ ăn của quán này khá là ngon miệng lại đậm đà lắm luôn nhe tuy là món chay nhưng mình cực kỳ ưng ý luôn á, gọi 1 tô bún khô để ăn có chén nước súp kế bên để húp cho đỡ khô nữa nhe, tuy là đồ chay nhưng nhìn cực kỳ hấp dẫn chả thua gì đồ mặn đâu á, nhân viên quán này cũng khá là mau lẹ lại nhiệt tình lắm nhe, lau bàn ghế này nọ rụp rụp à, tại lúc mình lại khá là đông và hết chổ nên thấy làm quá trời lẹ luôn. Cứ lâu lâu lại hay chạy qua quán này để mà ăn sáng làm tuy là quán bán đồ chay nhưng cực kỳ ngon và hấp dẫn lắm nhe, giá cả cũng vừa phải lắm nên được nhiều người ghé qua ăn lắm luôn, mình nay đi 1 mình ăn sáng nên gọi 1 tô hủ tiếu để dùng, ta nói bưng ra tô hủ tiếu nhìn mà hấp dẫn gì đâu ấy chứ, thịt thà rau cải ta nói ôi thôi nhiều lắm luôn kìa mà ăn ngon lắm nước súp tuy là đồ chay nhưng ngọt nước và ngon gì đâu á. Cứ thích hay ghé quán này để mà mua đồ chay ăn lắm luôn giá cả thì khá là rẽ lại đồ chay cực kỳ ngon luôn nữa chứ nên hay đến mua ăn suốt à, mình mua 1 bịch hủ tiếu chay và 1 hộp bún khô chay để ăn, mua mang về hâm nóng lại là ăn cực kỳ ngon luôn nhe hủ tiếu thì quá trời nhiều luôn rau cải nhóc hết ấy chứ, bún khô thì ăn vừa phải có nước mắm chay để chan khá là ngon nữa chứ, xin thêm bịch nước soup cho phần bún khô chay cho đỡ ngán nữa là xong buổi sáng rồi. Nay ăn chay mà sáng lười mua đồ ăn, nên đến trưa đói quá đói. Vừa may ngay đầu hẻm có tiệm cơm chay hay ăn nên ráng đi bộ ra mua. Một hộp đầy ắp thức ăn, vài món nhìn màu sắc hình dáng siêu hấp dẫn, ăn cũng ok lắm. Đậu xào ngon, đậm đà không thua gì nhà làm luôn. Hạt cơm dẻo, ngon, khoản này hơn hẳn nhiều quán chay mình từng ăn. Một hộp 16k so với mặt bằng đồ chay thì hơi cao hơn 1 tẹo nhưng vì có chất lượng nên ok luôn.",https://www.foody.vn/can-tho/hy-lac-chay-duong-30-thang-4,"Chay, Quán ăn"
Ăn Vặt Bờm 5k,"39 Mạc Thiên Tích, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",8.0,15:00 - 22:00,5.000đ - 30.000đ,"10.0285304000000, 105.7749453000000",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwh6edgd4laz0b@resize_ss576x330,"Bữa thèm cơm cháy chà bông quá, thấy quán có bán nên ghé quán ăn luôn. Quán nằm trên bờ kè Mậu Thân, gần quán Tư Minh và Ngộ quán nên cũng khá dễ tìm. Menu quán rõ ràng, dễ chọn lựa :3 Mà sao quán không bán cố định hay sao đó, cứ lâu lâu chạy ngang thấy thì ghé vào thôi, chứ có mấy bữa lại nhưng không thấy quán mở. Cơm cháy như hình thì không có gì đặc biệt cho lắm, 3 miếng 10k, chà bông phải mịn hơn tí nữa thì ok. Chỗ này ăn vặt giá cả sinh viên nên lâu lâu ủng hộ thôi, chứ đồ ăn thì bình thường, không gì đặc biệt. - Vị trí: ăn vặt bờm 5k nằm trên đường Mạc Thiên Tích, nếu đi từ đường Mậu Thân bên phải tính từ đại học Cần Thơ. 
- Không gian: không gian quán không gì đặc biệt lắm. Quán mở cửa từ khoảng 15 16h chiều đến tối nên giờ đó quán khá thoáng mát và thoải mái
- Phục vụ: nhân viên phục vụ vui vẻ, nhiệt tình và thân thiện
- Chất lượng: như hình mình chỉ uống lý nước mía bình thường thôi, nhưng trong menu rất đa dạng nhe. Còn có cả nước mía Mỹ Tho, hôm nào sẽ thử.",https://www.foody.vn/can-tho/an-vat-bom-5k,"Vỉa hè, Ăn vặt"
Trà Sữa DNA,"112C Trần Phú, Quận Ninh Kiều, Cần Thơ",8.8,13:00 - 21:15,8.000đ - 25.000đ,"10.0475320000000, 105.7831490000000",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8iyyw8cfrt85@resize_ss576x330,"Hồng trà chỉ 8k, cực thơm
Trà sữa 10k, béo, thơm trà
Matcha 10k cực chất
Trà đào 15k 3-4 lát đào
Cafe 10k uống cũng được
Sinh tố chanh dây ( k nhớ giá) ngon
Quán còn bán dụng cụ pha trà sữa các loại
Khuyết điểm: không đa dạng về thạch.",https://www.foody.vn/can-tho/tra-sua-dna,"Café, Dessert, Trà sữa, Vỉa hè, Ăn vặt"
